,Name,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Rule Usage Hit Count,Rule Usage Last Hit,Rule Usage First Hit,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
1,Lab to AMS,none,universal,Lab,10.190.205.0/24,any,any,Not-Lab,10.166.218.23,any,any,application-default,Allow,none,Traffic log sent at session end,70582124,1/10/22 14:07,9/28/21 11:15,-,-,1/10/22 13:58,9/21/21 14:19
2,AMS - No Outside Access,none,universal,Lab,10.190.205.0/24,any,any,Not-Lab,any,any,any,application-default,Deny,none,Traffic log sent at session end,466361613,8/16/22 16:14,9/26/21 15:06,-,-,1/10/22 13:58,9/21/21 14:23
3,[Disabled]  Calrec RP1 DC POC,[Disabled] none,[Disabled] universal,[Disabled]  Not-Lab,[Disabled]  10.199.97.57;[Disabled]  10.199.128.28,[Disabled]  any,[Disabled]  any,[Disabled]  Lab,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Allow,none,Traffic log sent at session end,0,-,-,-,-,9/28/21 14:39,9/24/21 13:21
4,[Disabled]  Calrec AOIP interfaces,[Disabled] none,[Disabled] universal,[Disabled]  Not-Lab,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Lab,[Disabled]  10.190.229.0/24,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Drop,none,Traffic log sent at session end,595028,3/28/22 4:11,9/26/21 15:06,-,-,3/30/22 13:26,9/24/21 12:18
5,[Disabled]  Calrec UI - allow web browsing,[Disabled] none,[Disabled] universal,[Disabled]  Not-Lab,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Lab,[Disabled]  10.190.236.101-10.190.236.106;[Disabled]  10.190.236.201-10.190.236.206,[Disabled]  any,[Disabled]  any,[Disabled]  service-http;[Disabled]  service-https,[Disabled]  Allow,none,Traffic log sent at session end,198,9/28/21 14:37,9/24/21 13:15,2,326,9/28/21 14:39,9/24/21 13:15
6,[Disabled]  Calrec UI - block non-browsing,[Disabled] none,[Disabled] universal,[Disabled]  Not-Lab,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Lab,[Disabled]  10.190.236.101-10.190.236.106;[Disabled]  10.190.236.201-10.190.236.206,[Disabled]  any,[Disabled]  any,[Disabled]  application-default,[Disabled]  Drop,none,Traffic log sent at session end,86164,3/30/22 13:25,9/26/21 15:06,-,-,3/30/22 13:26,9/24/21 13:15
7,MMBE Access,none,universal,Not-Lab,10.191.222.19,any,any,Lab,10.190.202.3-10.190.202.9,any,ms-rdp,service-http;service-https;TCP Port 8088;TCP Port 8433,Allow,none,Traffic log sent at session end,0,-,-,-,-,9/29/21 10:12,9/29/21 10:12
8,WM AD,none,universal,Iggynet-outside,WM AD,any,any,Iggynet-inside,10.190.217.140-10.190.217.142,any,active-directory,TCP 3389,Allow,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
9,Iggynet In-Out,none,universal,Iggynet-inside,any,any,any,Iggynet-outside,any,any,any,application-default,Allow,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
10,Iggynet Out-In,none,universal,Iggynet-outside,any,any,any,Iggynet-inside,any,any,any,application-default,Allow,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
11,Blocked,none,universal,any,10.188.169.152,any,any,any,any,any,any,application-default,Deny,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
12,Block Telnet and Http,none,universal,Not-Lab,any,any,any,any,10.190.142.70;10.190.142.71;10.190.142.72,any,telnet,service-http;TCP 23,Deny,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
